Time da Casa,Time Visitante,Gols da Casa,Gols Visitante
Barcelona,Napoli,4,3
RB Leipzig,Benfica,4,5
Juventus,Barcelona,1,0
Bayern Munich,Borussia Dortmund,5,5
Juventus,RB Leipzig,0,1
Manchester City,Borussia Dortmund,5,1
Inter Milan,Atlético de Madrid,3,5
Inter Milan,Real Madrid,2,1
Bayern Munich,Benfica,4,5
Lyon,AC Milan,2,2
Lyon,Paris Saint-Germain,2,5
Chelsea,Sevilla,1,2
Atlético de Madrid,AC Milan,2,0
Arsenal,Benfica,0,1
Sevilla,Liverpool,3,2
Bayern Munich,Manchester City,3,5
Chelsea,Manchester City,1,0
Borussia Dortmund,Benfica,4,1
Bayern Munich,Napoli,2,0
Real Madrid,Chelsea,0,3
Bayern Munich,RB Leipzig,5,4
Borussia Dortmund,Arsenal,3,4
Inter Milan,Barcelona,0,1
RB Leipzig,Paris Saint-Germain,0,1
Inter Milan,AC Milan,0,2
Chelsea,AC Milan,3,3
Sevilla,Lyon,1,1
Chelsea,Tottenham Hotspur,3,4
Tottenham Hotspur,Paris Saint-Germain,3,0
AC Milan,Chelsea,0,1
Napoli,Tottenham Hotspur,5,0
Borussia Dortmund,Sevilla,0,2
Tottenham Hotspur,Real Madrid,4,1
Real Madrid,Barcelona,4,1
Inter Milan,Bayern Munich,0,4
Sevilla,Paris Saint-Germain,0,0
Inter Milan,Paris Saint-Germain,4,5
Juventus,Barcelona,1,3
Real Madrid,RB Leipzig,3,1
Chelsea,Lyon,2,3
Manchester United,Juventus,1,4
Paris Saint-Germain,Barcelona,5,1
Napoli,AC Milan,2,3
RB Leipzig,Paris Saint-Germain,2,3
Manchester United,Chelsea,5,0
Atlético de Madrid,Chelsea,4,2
RB Leipzig,Benfica,1,4
Borussia Dortmund,Inter Milan,1,3
Real Madrid,Borussia Dortmund,4,0
Real Madrid,Lyon,3,0
Real Madrid,Manchester United,2,1
RB Leipzig,Inter Milan,5,3
RB Leipzig,Benfica,1,2
Manchester City,Paris Saint-Germain,1,5
Liverpool,Paris Saint-Germain,2,2
Lyon,Arsenal,0,1
Manchester United,Arsenal,0,4
Borussia Dortmund,Napoli,5,2
Bayern Munich,Paris Saint-Germain,4,5
Barcelona,Arsenal,5,3
Benfica,Real Madrid,1,4
Liverpool,Tottenham Hotspur,0,5
Atlético de Madrid,AC Milan,4,4
RB Leipzig,Sevilla,0,4
RB Leipzig,Manchester United,5,4
AC Milan,Lyon,2,4
Bayern Munich,Liverpool,2,2
Atlético de Madrid,Juventus,0,2
Tottenham Hotspur,Juventus,1,3
Sevilla,Paris Saint-Germain,5,3
Arsenal,Bayern Munich,1,4
Atlético de Madrid,Manchester United,1,2
Juventus,Arsenal,2,0
Lyon,Paris Saint-Germain,4,1
Manchester United,Liverpool,5,3
Arsenal,Inter Milan,5,1
Atlético de Madrid,Real Madrid,1,5
Manchester City,RB Leipzig,2,3
Barcelona,Chelsea,5,5
Lyon,Barcelona,4,3
Benfica,Manchester United,2,4
Manchester United,Bayern Munich,5,4
Atlético de Madrid,Sevilla,4,1
Lyon,AC Milan,0,1
Tottenham Hotspur,Bayern Munich,5,0
Arsenal,Barcelona,2,2
AC Milan,Chelsea,1,0
Benfica,Borussia Dortmund,5,5
Paris Saint-Germain,Bayern Munich,3,0
Bayern Munich,Barcelona,0,3
Juventus,Real Madrid,1,1
Inter Milan,Lyon,0,4
Bayern Munich,Liverpool,0,0
Manchester City,Lyon,5,1
Borussia Dortmund,Inter Milan,2,2
Bayern Munich,Borussia Dortmund,1,5
Chelsea,Atlético de Madrid,1,2
RB Leipzig,Atlético de Madrid,0,1
Sevilla,Inter Milan,3,2
Paris Saint-Germain,Barcelona,1,0
Juventus,Lyon,2,5
Atlético de Madrid,Arsenal,0,3
Atlético de Madrid,Borussia Dortmund,2,5
Inter Milan,Bayern Munich,0,0
Juventus,Barcelona,5,1
Bayern Munich,Inter Milan,2,5
Benfica,Atlético de Madrid,0,1
Bayern Munich,Paris Saint-Germain,3,4
Inter Milan,Real Madrid,4,0
Manchester City,Paris Saint-Germain,4,0
Real Madrid,Juventus,2,5
Benfica,RB Leipzig,3,0
Benfica,Barcelona,2,3
Benfica,Atlético de Madrid,0,0
Barcelona,Tottenham Hotspur,4,1
Atlético de Madrid,Chelsea,1,4
Chelsea,Inter Milan,4,5
Bayern Munich,RB Leipzig,1,1
RB Leipzig,Sevilla,2,2
Liverpool,Tottenham Hotspur,0,4
RB Leipzig,Tottenham Hotspur,1,4
Sevilla,Juventus,1,4
RB Leipzig,Paris Saint-Germain,0,1
Inter Milan,Tottenham Hotspur,3,4
Paris Saint-Germain,Lyon,0,2
Manchester United,Tottenham Hotspur,0,5
Juventus,Bayern Munich,1,0
Lyon,Inter Milan,1,0
Arsenal,Chelsea,4,3
Paris Saint-Germain,Napoli,5,5
Liverpool,Inter Milan,5,4
Chelsea,Tottenham Hotspur,4,4
Manchester City,RB Leipzig,1,2
Bayern Munich,Real Madrid,5,4
Chelsea,Sevilla,2,4
Tottenham Hotspur,Inter Milan,3,0
Bayern Munich,Atlético de Madrid,1,5
Barcelona,Juventus,2,2
Borussia Dortmund,Liverpool,5,2
Lyon,Paris Saint-Germain,0,4
Benfica,Real Madrid,2,3
Tottenham Hotspur,Sevilla,3,5
Real Madrid,Paris Saint-Germain,4,4
Bayern Munich,Paris Saint-Germain,2,3
Bayern Munich,Paris Saint-Germain,3,4
Manchester United,Atlético de Madrid,4,1
RB Leipzig,AC Milan,4,3
Napoli,Borussia Dortmund,2,4
Lyon,Liverpool,3,0
Liverpool,Atlético de Madrid,1,5
Benfica,Lyon,3,4
Sevilla,Inter Milan,3,3
Inter Milan,Liverpool,4,1
Sevilla,Napoli,0,5
Manchester United,Chelsea,5,1
Chelsea,Atlético de Madrid,4,0
Liverpool,Real Madrid,0,1
Manchester United,Juventus,2,0
Tottenham Hotspur,Sevilla,4,0
Lyon,Arsenal,5,3
Arsenal,Borussia Dortmund,5,0
Arsenal,Inter Milan,3,0
Liverpool,Bayern Munich,4,5
Napoli,RB Leipzig,4,5
Manchester United,Sevilla,3,0
Tottenham Hotspur,Lyon,0,5
Borussia Dortmund,Juventus,2,2
RB Leipzig,Arsenal,0,5
Napoli,AC Milan,3,1
Chelsea,Lyon,0,2
RB Leipzig,Napoli,5,1
Juventus,Lyon,3,3
Manchester City,Tottenham Hotspur,0,3
Liverpool,Manchester United,3,1
Napoli,Barcelona,5,2
Liverpool,Chelsea,5,4
Inter Milan,Liverpool,4,5
AC Milan,Napoli,2,4
Real Madrid,Chelsea,3,1
Arsenal,Borussia Dortmund,0,2
Benfica,Atlético de Madrid,5,5
Tottenham Hotspur,AC Milan,3,3
Barcelona,Lyon,4,3
RB Leipzig,Barcelona,0,1
Paris Saint-Germain,Tottenham Hotspur,0,3
Paris Saint-Germain,Juventus,0,4
Barcelona,AC Milan,1,5
Benfica,Lyon,4,5
RB Leipzig,Sevilla,2,4
Liverpool,Napoli,3,0
Bayern Munich,Benfica,3,5
Chelsea,Manchester United,2,0
RB Leipzig,Juventus,2,3
Tottenham Hotspur,Inter Milan,1,3
Borussia Dortmund,AC Milan,5,0
Borussia Dortmund,Juventus,2,3
Arsenal,Barcelona,3,2
Paris Saint-Germain,Atlético de Madrid,4,4
Atlético de Madrid,Napoli,0,3
Real Madrid,Manchester City,0,3
Barcelona,Lyon,5,4
Manchester City,Chelsea,3,3
Paris Saint-Germain,Bayern Munich,5,4
AC Milan,Inter Milan,3,1
Atlético de Madrid,Chelsea,1,2
Real Madrid,Benfica,2,0
Barcelona,Tottenham Hotspur,3,4
Tottenham Hotspur,AC Milan,5,2
Real Madrid,Juventus,2,5
Lyon,Tottenham Hotspur,1,1
Napoli,Barcelona,0,5
Barcelona,RB Leipzig,0,0
Borussia Dortmund,RB Leipzig,0,1
Manchester United,Bayern Munich,5,4
Juventus,Benfica,1,0
Paris Saint-Germain,Chelsea,1,2
RB Leipzig,Manchester United,2,1
AC Milan,Juventus,2,5
Atlético de Madrid,Manchester United,0,3
Liverpool,Sevilla,5,3
Real Madrid,Manchester United,0,1
Paris Saint-Germain,AC Milan,3,3
Real Madrid,Arsenal,4,1
Napoli,Juventus,2,2
Liverpool,Manchester City,2,2
Manchester United,Juventus,2,0
Manchester City,Liverpool,5,3
Liverpool,Inter Milan,2,5
Inter Milan,Borussia Dortmund,4,1
Real Madrid,Benfica,4,2
Barcelona,Bayern Munich,5,2
Napoli,Benfica,1,5
Inter Milan,Liverpool,5,4
Bayern Munich,Manchester United,4,0
Benfica,Barcelona,2,0
Atlético de Madrid,Napoli,0,5
Liverpool,Chelsea,1,3
Barcelona,Arsenal,0,0
AC Milan,Tottenham Hotspur,3,3
AC Milan,Arsenal,5,3
Napoli,Arsenal,0,1
Paris Saint-Germain,Inter Milan,4,4
AC Milan,Juventus,4,1
Atlético de Madrid,Borussia Dortmund,5,5
Atlético de Madrid,Tottenham Hotspur,5,5
Bayern Munich,Lyon,3,5
Bayern Munich,Barcelona,2,1
Inter Milan,Chelsea,1,5
Juventus,Manchester United,1,3
Paris Saint-Germain,Sevilla,4,2
Real Madrid,RB Leipzig,4,5
Manchester United,Atlético de Madrid,5,0
Bayern Munich,Tottenham Hotspur,3,0
Napoli,Arsenal,0,5
RB Leipzig,Bayern Munich,3,0
RB Leipzig,AC Milan,0,1
Chelsea,Sevilla,5,4
Juventus,Barcelona,1,0
Napoli,Paris Saint-Germain,2,5
Paris Saint-Germain,Atlético de Madrid,5,5
RB Leipzig,Sevilla,0,3
Manchester City,Benfica,2,0
Paris Saint-Germain,Atlético de Madrid,2,4
Chelsea,Lyon,2,5
Manchester City,Atlético de Madrid,3,2
Real Madrid,Tottenham Hotspur,0,5
Manchester United,Inter Milan,0,1
Juventus,Napoli,3,2
Juventus,Chelsea,5,1
Real Madrid,Chelsea,0,0
Benfica,Inter Milan,5,2
Lyon,Bayern Munich,1,3
Benfica,RB Leipzig,0,4
Sevilla,Inter Milan,1,5
Manchester United,Borussia Dortmund,2,1
Sevilla,Borussia Dortmund,2,3
Atlético de Madrid,Benfica,3,5
Chelsea,Tottenham Hotspur,3,3
Chelsea,Lyon,5,1
Napoli,Bayern Munich,4,4
Borussia Dortmund,Inter Milan,2,5
Tottenham Hotspur,Benfica,5,4
Real Madrid,Paris Saint-Germain,3,1
Borussia Dortmund,Manchester City,2,4
Chelsea,Sevilla,4,0
Borussia Dortmund,Sevilla,3,0
Tottenham Hotspur,Paris Saint-Germain,0,4
Real Madrid,Napoli,0,3
RB Leipzig,Chelsea,0,4
Napoli,Arsenal,3,2
Tottenham Hotspur,Real Madrid,2,0
Manchester City,Benfica,2,0
Manchester City,Manchester United,1,0
Lyon,Real Madrid,2,1
Atlético de Madrid,Paris Saint-Germain,0,0
Atlético de Madrid,Inter Milan,2,3
Borussia Dortmund,Chelsea,5,4
Manchester United,Tottenham Hotspur,4,2
Borussia Dortmund,Manchester United,0,5
Paris Saint-Germain,Juventus,4,3
Atlético de Madrid,RB Leipzig,2,2
RB Leipzig,Napoli,4,5
Benfica,Liverpool,5,2
Manchester United,AC Milan,2,2
Benfica,Barcelona,0,1
Atlético de Madrid,Manchester United,5,0
Liverpool,Tottenham Hotspur,0,1
Sevilla,Bayern Munich,5,3
Manchester City,Paris Saint-Germain,3,2
Arsenal,Juventus,5,1
Real Madrid,RB Leipzig,5,1
Barcelona,RB Leipzig,0,2
Benfica,Borussia Dortmund,4,0
RB Leipzig,AC Milan,5,4
Chelsea,Bayern Munich,1,0
Real Madrid,Juventus,2,5
Bayern Munich,Tottenham Hotspur,4,5
AC Milan,Real Madrid,0,5
Manchester City,Benfica,2,5
Lyon,Sevilla,1,0
Lyon,Barcelona,1,5
Real Madrid,Tottenham Hotspur,2,0
Inter Milan,Chelsea,4,4
Napoli,Manchester United,3,5
Real Madrid,RB Leipzig,2,5
Benfica,Barcelona,5,4
Chelsea,Real Madrid,1,5
Atlético de Madrid,Napoli,4,1
Atlético de Madrid,Real Madrid,5,4
Tottenham Hotspur,Manchester City,5,5
Juventus,Bayern Munich,4,5
Borussia Dortmund,Bayern Munich,2,1
Manchester United,AC Milan,3,2
Tottenham Hotspur,RB Leipzig,2,2
Lyon,AC Milan,3,0
Chelsea,Sevilla,3,3
Inter Milan,Barcelona,2,0
Bayern Munich,Lyon,2,0
RB Leipzig,AC Milan,0,3
Real Madrid,Sevilla,1,1
Juventus,Inter Milan,4,3
Inter Milan,Arsenal,1,1
Chelsea,Inter Milan,3,5
Barcelona,Real Madrid,4,3
RB Leipzig,Sevilla,0,4
Manchester City,Arsenal,2,3
Napoli,Bayern Munich,3,3
Borussia Dortmund,Barcelona,1,3
Paris Saint-Germain,Manchester City,1,5
Paris Saint-Germain,Juventus,5,1
Manchester City,Chelsea,0,0
Benfica,Lyon,0,2
RB Leipzig,Sevilla,5,1
Chelsea,Paris Saint-Germain,1,3
Atlético de Madrid,Paris Saint-Germain,3,2
Barcelona,Lyon,4,2
Chelsea,Arsenal,0,5
Real Madrid,Arsenal,1,3
Inter Milan,Manchester United,4,1
Inter Milan,Atlético de Madrid,2,1
Paris Saint-Germain,Manchester United,0,1
Sevilla,Atlético de Madrid,5,5
Sevilla,Napoli,0,4
Sevilla,AC Milan,5,3
Benfica,Arsenal,5,3
Lyon,Barcelona,0,1
Benfica,AC Milan,2,3
Tottenham Hotspur,Atlético de Madrid,0,1
Liverpool,Sevilla,2,1
Lyon,Barcelona,1,0
Arsenal,Lyon,3,1
Barcelona,RB Leipzig,5,5
Real Madrid,Barcelona,1,4
RB Leipzig,Paris Saint-Germain,1,5
Bayern Munich,Benfica,5,1
Liverpool,Inter Milan,2,4
Chelsea,Arsenal,0,3
Tottenham Hotspur,Benfica,0,3
Atlético de Madrid,Borussia Dortmund,4,1
Bayern Munich,Sevilla,4,5
Arsenal,Napoli,4,1
Tottenham Hotspur,Real Madrid,3,1
Tottenham Hotspur,Lyon,0,0
RB Leipzig,Liverpool,0,1
Tottenham Hotspur,Real Madrid,0,3
Barcelona,Tottenham Hotspur,4,1
Tottenham Hotspur,Arsenal,1,3
Napoli,Borussia Dortmund,3,1
Bayern Munich,Juventus,4,5
Bayern Munich,Manchester United,0,2
Manchester United,Benfica,0,0
Lyon,Real Madrid,5,1
Bayern Munich,AC Milan,5,1
Bayern Munich,Liverpool,2,0
Manchester City,Juventus,1,5
Manchester United,Bayern Munich,0,2
Manchester City,Borussia Dortmund,0,4
Tottenham Hotspur,Manchester United,5,4
Chelsea,Manchester United,5,4
Atlético de Madrid,Liverpool,2,5
Atlético de Madrid,Paris Saint-Germain,5,1
Juventus,Inter Milan,1,5
Paris Saint-Germain,Arsenal,3,3
Juventus,Lyon,5,5
AC Milan,Napoli,4,5
RB Leipzig,Borussia Dortmund,0,4
Borussia Dortmund,RB Leipzig,4,5
Atlético de Madrid,RB Leipzig,2,4
Tottenham Hotspur,Sevilla,2,4
Napoli,RB Leipzig,4,3
Sevilla,Manchester City,5,4
Barcelona,Inter Milan,1,0
Barcelona,Paris Saint-Germain,4,4
Juventus,Arsenal,1,2
Barcelona,Paris Saint-Germain,5,4
Manchester United,Napoli,4,3
Paris Saint-Germain,Napoli,0,5
Paris Saint-Germain,Manchester United,4,3
Benfica,Napoli,0,5
Barcelona,Atlético de Madrid,1,0
Barcelona,Sevilla,3,3
AC Milan,Borussia Dortmund,4,5
AC Milan,Arsenal,4,2
Real Madrid,AC Milan,4,0
Napoli,AC Milan,3,4
Borussia Dortmund,Benfica,3,1
Tottenham Hotspur,Lyon,1,1
Juventus,Bayern Munich,1,0
Chelsea,Sevilla,1,4
Sevilla,Chelsea,2,3
Liverpool,Real Madrid,0,0
Paris Saint-Germain,Liverpool,2,2
Liverpool,Napoli,4,5
Manchester City,Atlético de Madrid,2,2
Barcelona,Lyon,3,1
Barcelona,Inter Milan,2,1
Benfica,Barcelona,5,2
Inter Milan,Chelsea,1,1
Paris Saint-Germain,Juventus,0,3
Benfica,Sevilla,4,3
Sevilla,Benfica,3,3
Juventus,Inter Milan,1,2
Atlético de Madrid,Inter Milan,1,5
Borussia Dortmund,Lyon,0,0
Barcelona,Benfica,2,2
Lyon,Real Madrid,3,1
Bayern Munich,Juventus,1,2
Tottenham Hotspur,RB Leipzig,4,5
Borussia Dortmund,Benfica,0,4
Manchester United,Inter Milan,4,5
Manchester City,Tottenham Hotspur,4,5
Juventus,Tottenham Hotspur,5,0
RB Leipzig,Atlético de Madrid,1,1
Manchester United,RB Leipzig,4,5
Borussia Dortmund,Chelsea,4,2
AC Milan,Sevilla,5,1
Real Madrid,Atlético de Madrid,2,2
AC Milan,Juventus,3,3
Manchester United,AC Milan,4,2
RB Leipzig,Arsenal,1,2
Sevilla,Barcelona,0,2
Paris Saint-Germain,Napoli,0,5
Atlético de Madrid,Napoli,4,2
Tottenham Hotspur,RB Leipzig,1,1
Tottenham Hotspur,Lyon,1,1
Lyon,Manchester United,0,2
Sevilla,Liverpool,0,3
Benfica,RB Leipzig,1,1
Paris Saint-Germain,Barcelona,5,2
Bayern Munich,Paris Saint-Germain,1,3
Lyon,Napoli,1,2
Inter Milan,RB Leipzig,0,4
Manchester City,Inter Milan,5,1
Borussia Dortmund,Atlético de Madrid,1,5
Barcelona,Tottenham Hotspur,5,0
Atlético de Madrid,Inter Milan,2,4
Arsenal,Real Madrid,1,3
Inter Milan,Sevilla,0,0
Lyon,RB Leipzig,2,0
Manchester City,Lyon,0,0
Manchester City,AC Milan,0,4
Chelsea,Benfica,2,1
Sevilla,Manchester City,5,1
Arsenal,Atlético de Madrid,5,2
Napoli,Real Madrid,5,4
Barcelona,AC Milan,5,5
RB Leipzig,Inter Milan,4,4
RB Leipzig,Atlético de Madrid,5,4
Paris Saint-Germain,Real Madrid,0,0
Benfica,Manchester City,2,4
Liverpool,Inter Milan,0,2
Arsenal,RB Leipzig,2,2
Napoli,Manchester City,0,0
Benfica,Napoli,1,5
Chelsea,Benfica,4,2
Sevilla,Inter Milan,1,1
Benfica,Barcelona,3,5
Arsenal,Atlético de Madrid,0,1
Bayern Munich,AC Milan,2,5
Liverpool,Chelsea,1,2
Napoli,AC Milan,3,1
Manchester City,Real Madrid,1,4
Inter Milan,Barcelona,0,1
Lyon,Benfica,3,4
Atlético de Madrid,Sevilla,5,5
Borussia Dortmund,Atlético de Madrid,5,4
Juventus,Barcelona,5,4
Tottenham Hotspur,Manchester United,2,3
Bayern Munich,Napoli,0,1
Napoli,Inter Milan,2,5
Benfica,Inter Milan,0,4
Liverpool,Bayern Munich,5,0
Lyon,Liverpool,0,3
Tottenham Hotspur,Lyon,3,0
Napoli,Bayern Munich,3,3
Tottenham Hotspur,Atlético de Madrid,1,5
Chelsea,Benfica,2,5
Borussia Dortmund,Barcelona,2,5
Napoli,Chelsea,5,2
Liverpool,Inter Milan,4,1
Sevilla,Manchester City,3,3
Benfica,Tottenham Hotspur,4,5
Napoli,Manchester City,3,4
Manchester City,Chelsea,1,1
Real Madrid,Lyon,3,0
Sevilla,Tottenham Hotspur,0,4
Juventus,Manchester United,4,3
Atlético de Madrid,Napoli,5,4
Borussia Dortmund,Napoli,1,5
Paris Saint-Germain,Chelsea,1,4
Napoli,Barcelona,2,0
RB Leipzig,Arsenal,0,1
Inter Milan,Real Madrid,5,1
AC Milan,Manchester United,0,1
AC Milan,RB Leipzig,4,4
Chelsea,Tottenham Hotspur,0,1
Barcelona,Atlético de Madrid,5,5
Arsenal,AC Milan,4,5
Real Madrid,Liverpool,4,3
Benfica,Real Madrid,3,4
Juventus,Atlético de Madrid,1,5
Lyon,Tottenham Hotspur,2,3
Lyon,Real Madrid,2,2
Paris Saint-Germain,Benfica,0,4
Paris Saint-Germain,Manchester United,5,5
Chelsea,Tottenham Hotspur,0,2
Chelsea,Borussia Dortmund,4,4
Sevilla,Bayern Munich,4,5
Manchester City,Tottenham Hotspur,4,1
Tottenham Hotspur,AC Milan,1,5
AC Milan,Inter Milan,5,3
Real Madrid,Inter Milan,5,4
AC Milan,Arsenal,0,5
Sevilla,Borussia Dortmund,5,3
Napoli,Liverpool,0,5
Tottenham Hotspur,Chelsea,1,4
Chelsea,Lyon,1,0
Manchester United,Atlético de Madrid,5,4
Liverpool,AC Milan,5,5
RB Leipzig,Manchester United,2,3
Lyon,Arsenal,0,4
AC Milan,Atlético de Madrid,3,1
Manchester City,Tottenham Hotspur,0,5
Manchester United,AC Milan,1,3
Benfica,Paris Saint-Germain,0,2
Lyon,AC Milan,4,3
Barcelona,Tottenham Hotspur,3,2
Real Madrid,Atlético de Madrid,1,3
Manchester City,AC Milan,4,0
Arsenal,Sevilla,3,3
Arsenal,Liverpool,0,5
Lyon,RB Leipzig,2,5
Lyon,Barcelona,0,5
Liverpool,RB Leipzig,0,0
Manchester United,Chelsea,1,4
Manchester City,AC Milan,2,0
Manchester United,Juventus,2,3
Napoli,Arsenal,3,0
Chelsea,Tottenham Hotspur,4,4
Manchester United,Bayern Munich,3,3
Benfica,Inter Milan,5,0
Paris Saint-Germain,Arsenal,3,3
Napoli,RB Leipzig,5,4
RB Leipzig,Inter Milan,1,2
Atlético de Madrid,Juventus,1,2
Bayern Munich,Real Madrid,5,5
Manchester City,Lyon,5,2
Atlético de Madrid,Juventus,3,3
Arsenal,Benfica,4,2
AC Milan,Inter Milan,3,5
Manchester United,Manchester City,5,0
Barcelona,Sevilla,3,2
Atlético de Madrid,Napoli,0,1
Liverpool,Lyon,2,1
Atlético de Madrid,Liverpool,4,5
Barcelona,Bayern Munich,5,3
Atlético de Madrid,Real Madrid,4,1
AC Milan,Arsenal,1,3
Real Madrid,Liverpool,3,5
Arsenal,Manchester City,1,1
Juventus,Manchester City,3,2
Inter Milan,Paris Saint-Germain,2,0
Atlético de Madrid,Sevilla,0,3
Napoli,Borussia Dortmund,4,1
Real Madrid,Sevilla,4,2
Borussia Dortmund,Sevilla,5,5
Bayern Munich,AC Milan,4,0
Atlético de Madrid,AC Milan,4,2
Atlético de Madrid,Inter Milan,2,2
Paris Saint-Germain,Bayern Munich,4,5
Chelsea,Liverpool,2,1
Manchester City,Lyon,5,4
Real Madrid,Tottenham Hotspur,1,5
Arsenal,Tottenham Hotspur,3,5
Sevilla,Manchester City,5,0
Benfica,Manchester City,1,4
Bayern Munich,Borussia Dortmund,4,2
Sevilla,RB Leipzig,0,4
Real Madrid,Benfica,2,0
Juventus,Sevilla,1,4
Borussia Dortmund,Manchester United,1,3
Lyon,Paris Saint-Germain,5,1
Lyon,Tottenham Hotspur,1,4
Benfica,Bayern Munich,3,0
Paris Saint-Germain,AC Milan,4,3
Sevilla,Atlético de Madrid,3,2
Napoli,Juventus,5,3
Lyon,Inter Milan,0,4
RB Leipzig,Borussia Dortmund,4,0
Paris Saint-Germain,Chelsea,1,3
Sevilla,Paris Saint-Germain,0,2
Napoli,Borussia Dortmund,4,4
Paris Saint-Germain,Barcelona,1,1
Inter Milan,Liverpool,0,4
Lyon,Manchester United,3,5
RB Leipzig,Benfica,1,3
Liverpool,Sevilla,1,5
Borussia Dortmund,Chelsea,1,1
Tottenham Hotspur,Chelsea,5,3
Benfica,Manchester United,2,4
Sevilla,Paris Saint-Germain,3,3
Barcelona,Lyon,5,3
Chelsea,Paris Saint-Germain,4,2
Chelsea,Tottenham Hotspur,2,2
Paris Saint-Germain,AC Milan,5,3
Manchester United,Lyon,4,5
Bayern Munich,Paris Saint-Germain,0,5
RB Leipzig,Real Madrid,1,0
Manchester United,Barcelona,0,1
Manchester United,Benfica,1,5
Sevilla,Tottenham Hotspur,3,1
Manchester United,Tottenham Hotspur,1,4
Napoli,Manchester City,0,3
Liverpool,RB Leipzig,2,1
RB Leipzig,Napoli,5,3
Tottenham Hotspur,Liverpool,2,3
Sevilla,Barcelona,2,4
Benfica,Inter Milan,4,5
AC Milan,Chelsea,2,5
Lyon,Bayern Munich,4,3
Bayern Munich,AC Milan,3,1
