usuario_id,valor,data
4489,149.92,2024-04-26
3465,30.63,2024-08-06
22185,49.43,2024-09-26
22722,84.27,2024-10-15
24955,115.82,2024-04-23
37789,37.04,2024-09-30
1411,125.06,2024-07-05
40561,94.62,2024-12-22
17642,28.7,2024-09-30
49481,82.59,2024-07-08
31688,64.19,2024-07-30
10561,84.6,2024-02-03
43790,21.52,2024-09-02
15318,12.06,2024-09-10
43383,89.25,2024-03-15
4402,54.88,2024-06-18
15148,136.97,2024-04-28
22069,43.96,2024-06-16
19616,54.66,2024-07-02
5610,93.79,2024-08-25
17569,131.64,2024-10-30
19681,69.79,2024-07-18
21794,133.64,2024-03-07
40058,16.63,2024-09-17
38509,62.64,2024-03-26
20393,78.59,2024-06-05
7091,70.81,2024-04-27
31083,140.42,2024-07-28
8000,134.71,2024-12-30
47313,82.15,2024-02-21
49564,112.8,2024-03-23
39879,130.85,2024-09-29
16899,137.91,2024-04-16
36918,40.38,2024-03-16
4504,21.01,2024-03-20
22462,127.6,2024-09-04
32569,68.19,2024-08-30
42612,17.67,2024-12-10
34915,27.77,2024-05-26
33279,27.62,2024-08-05
41346,66.19,2024-05-30
36120,64.94,2024-07-08
30327,84.15,2024-06-10
21981,61.04,2024-03-12
29849,90.69,2024-05-07
7655,74.97,2024-11-27
21555,147.12,2024-06-21
16468,99.54,2024-10-07
49244,51.03,2024-09-27
44043,124.39,2024-09-06
23823,80.17,2024-06-15
29538,129.32,2024-07-11
18044,73.16,2024-12-31
35389,45.17,2024-03-09
11742,83.4,2024-07-06
3719,55.54,2024-05-05
741,131.77,2024-12-26
28116,22.49,2024-05-17
20244,149.2,2024-11-10
39652,91.81,2024-08-28
39538,52.81,2024-10-07
34,100.86,2024-09-02
14628,38.65,2024-04-02
44352,105.41,2024-02-02
1139,74.53,2024-04-11
47511,81.75,2024-10-29
20681,46.57,2024-12-01
48298,113.19,2024-12-19
22953,95.11,2024-02-10
13389,26.34,2024-06-21
11741,31.13,2024-01-19
35893,55.82,2024-12-14
47457,59.25,2024-08-10
5023,142.15,2024-12-28
43269,49.76,2024-10-26
49661,125.99,2024-01-29
433,129.37,2024-07-27
11162,122.74,2024-07-30
16467,29.93,2024-05-17
34827,45.71,2024-07-17
30281,75.9,2024-04-20
25600,113.69,2024-06-23
17180,76.76,2024-03-23
16865,69.58,2024-05-30
38744,34.26,2024-12-29
31503,132.18,2024-01-17
34368,23.13,2024-04-11
8548,105.1,2024-04-02
42283,63.12,2024-03-08
1090,60.71,2024-03-02
2719,47.62,2024-08-30
1208,56.72,2024-06-18
41305,47.17,2024-08-01
39860,142.01,2024-11-22
25534,137.21,2024-09-25
15701,93.61,2024-12-01
11227,136.48,2024-02-10
34100,62.27,2024-03-17
16573,33.71,2024-01-20
29449,120.93,2024-12-31
30435,30.85,2024-02-08
4076,93.78,2024-08-09
7703,39.83,2024-08-26
1709,92.49,2024-05-30
33707,77.17,2024-10-19
29172,130.12,2024-02-05
47637,94.86,2024-01-22
5710,107.09,2024-08-05
23526,103.24,2024-10-02
32906,26.34,2024-04-11
48138,37.92,2024-06-24
28897,100.12,2024-07-06
46009,146.21,2024-02-03
14349,42.04,2024-05-04
22031,127.59,2024-12-19
26032,97.19,2024-02-26
28753,79.77,2024-08-20
35816,113.18,2024-12-08
35916,65.75,2024-12-16
47268,22.09,2024-08-24
10588,51.41,2024-10-05
1720,24.5,2024-07-10
39753,54.1,2024-11-30
14551,108.34,2024-10-08
17354,83.22,2024-07-17
38741,84.07,2024-06-10
25478,72.97,2024-05-04
6478,14.4,2024-10-04
34821,47.67,2024-05-10
42114,55.44,2024-02-06
41513,111.01,2024-11-04
13476,55.16,2024-05-15
40369,26.31,2024-02-14
13490,15.09,2024-05-04
17344,97.22,2024-08-13
29182,88.6,2024-05-29
11948,129.83,2024-08-20
43162,13.2,2024-08-07
597,132.02,2024-09-14
40808,105.71,2024-08-17
4168,143.29,2024-09-24
44954,33.45,2024-10-06
19002,45.88,2024-06-03
1828,74.69,2024-03-04
6382,86.6,2024-09-17
36512,101.13,2024-08-26
10582,24.88,2024-06-27
21235,149.24,2024-09-04
23348,23.51,2024-02-08
21188,80.51,2024-09-23
3901,134.68,2024-09-23
37201,45.02,2024-03-12
42129,101.75,2024-02-26
27217,27.29,2024-09-20
35438,145.25,2024-05-10
14752,57.32,2024-03-08
8180,76.49,2024-04-02
35156,130.2,2024-02-25
14022,124.28,2024-05-11
21901,128.23,2024-07-26
33034,56.9,2024-02-04
31934,127.31,2024-11-20
13230,115.58,2024-09-17
46020,115.28,2024-11-12
20988,120.6,2024-09-01
45210,47.87,2024-10-03
49362,100.08,2024-03-16
3171,11.15,2024-06-30
28396,52.69,2024-05-18
4180,111.88,2024-12-17
37323,144.58,2024-04-01
32781,137.53,2024-09-07
20888,144.44,2024-06-26
30534,130.53,2024-01-22
42139,34.06,2024-10-15
12860,92.54,2024-09-23
35492,106.06,2024-06-29
7073,48.17,2024-11-29
7181,108.68,2024-11-25
23778,125.24,2024-12-23
22844,142.96,2024-03-31
19022,56.31,2024-07-03
30366,122.86,2024-09-25
43158,133.93,2024-12-02
16049,80.96,2024-10-08
43808,56.18,2024-03-12
6939,40.2,2024-05-08
33547,107.89,2024-08-13
504,126.94,2024-02-13
36897,128.66,2024-10-29
36064,28.26,2024-11-03
41258,94.03,2024-01-04
41170,45.85,2024-05-07
12309,53.5,2024-02-09
26535,43.74,2024-03-04
33958,134.13,2024-06-25
7378,57.36,2024-06-25
30648,33.49,2024-01-14
3840,80.04,2024-09-27
6855,95.88,2024-08-15
38530,23.93,2024-03-16
43236,96.84,2024-01-28
4281,110.65,2024-06-02
35285,134.47,2024-06-18
23923,137.47,2024-07-11
40010,71.94,2024-03-25
45119,88.19,2024-02-05
47678,27.8,2024-02-27
29759,108.86,2024-06-07
46095,103.54,2024-08-22
2181,47.72,2024-10-31
49493,31.39,2024-08-08
384,128.53,2024-05-13
27456,96.64,2024-07-22
29998,40.61,2024-05-20
193,121.62,2024-11-28
46709,136.91,2024-11-25
7431,145.77,2024-11-16
48982,94.82,2024-07-12
2321,123.99,2024-01-27
19632,138.75,2024-02-07
38130,84.01,2024-06-22
37054,38.78,2024-02-08
39032,14.28,2024-09-30
3435,96.72,2024-10-22
18077,145.01,2024-06-10
21399,143.64,2024-03-13
21105,68.57,2024-12-21
19726,140.18,2024-10-01
6682,101.61,2024-06-12
32467,80.93,2024-10-11
42926,15.79,2024-04-21
27215,84.06,2024-01-06
38306,43.25,2024-05-14
36601,38.6,2024-03-25
21388,63.76,2024-10-24
17460,89.98,2024-08-10
43851,80.12,2024-12-03
15782,105.5,2024-10-30
32272,25.23,2024-02-07
33696,44.46,2024-04-26
15896,131.65,2024-03-14
26795,109.41,2024-02-03
17783,132.3,2024-08-24
2119,119.17,2024-01-08
36689,69.44,2024-11-16
2361,75.95,2024-05-14
4496,56.27,2024-11-01
32971,35.25,2024-04-24
4554,147.82,2024-08-30
34683,122.77,2024-01-30
9534,137.94,2024-01-11
24562,121.37,2024-12-13
43296,74.27,2024-08-05
9832,28.23,2024-06-04
44925,31.19,2024-04-10
19269,26.45,2024-05-13
27717,123.16,2024-05-11
33124,43.88,2024-09-17
11585,131.93,2024-08-28
10399,149.32,2024-01-09
16254,49.34,2024-03-22
40935,92.6,2024-07-29
10295,24.98,2024-04-22
46574,42.2,2024-12-25
44122,19.91,2024-02-25
19442,148.63,2024-01-15
31913,80.45,2024-09-18
29207,101.99,2024-06-11
45030,64.95,2024-10-17
38661,27.03,2024-06-03
47740,83.86,2024-02-23
9737,44.92,2024-05-10
5964,136.85,2024-01-06
6976,56.53,2024-08-31
21629,113.3,2024-12-30
27822,118.59,2024-08-19
5058,41.1,2024-12-30
17578,145.79,2024-03-07
4505,63.29,2024-10-01
49272,35.42,2024-02-07
30392,79.85,2024-12-15
23568,100.6,2024-05-16
32340,56.38,2024-02-08
15649,14.92,2024-12-01
43958,114.19,2024-01-08
9798,22.06,2024-04-24
20223,61.57,2024-10-19
36396,102.08,2024-08-31
30293,12.52,2024-11-27
7003,112.16,2024-12-28
21295,134.68,2024-10-16
49943,86.69,2024-12-02
40234,46.79,2024-11-30
24058,102.97,2024-09-07
43219,61.75,2024-01-28
40768,39.49,2024-09-23
43285,120.21,2024-02-29
6910,20.88,2024-02-17
46421,131.39,2024-11-25
10308,111.89,2024-01-29
36504,68.14,2024-06-28
15702,136.08,2024-09-08
46584,26.85,2024-03-15
2113,37.14,2024-09-30
33363,40.95,2024-01-13
2381,80.58,2024-03-24
22034,90.16,2024-07-12
45105,60.15,2024-12-04
49015,131.05,2024-04-03
42520,37.75,2024-11-05
3836,69.82,2024-05-22
27866,77.59,2024-04-28
34558,16.35,2024-08-28
19284,147.09,2024-11-22
45349,143.88,2024-03-09
15114,114.99,2024-01-04
28334,120.15,2024-10-08
30892,148.8,2024-04-23
24258,80.36,2024-08-14
39900,133.89,2024-10-12
1623,145.24,2024-07-06
25427,113.78,2024-06-06
24385,66.42,2024-10-20
40528,30.2,2024-07-29
34244,75.24,2024-02-14
42850,34.36,2024-06-11
38981,29.21,2024-12-05
47927,76.41,2024-07-02
12107,89.91,2024-01-11
46109,117.15,2024-11-07
24598,17.51,2024-05-11
31585,36.73,2024-02-14
43430,112.31,2024-07-08
41625,119.4,2024-11-14
13274,33.08,2024-09-06
24409,63.18,2024-11-03
2031,110.24,2024-10-05
32304,128.69,2024-07-24
26918,92.68,2024-06-16
20339,146.2,2024-08-10
10032,133.25,2024-11-24
44983,95.95,2024-05-24
31054,98.79,2024-04-30
46894,48.82,2024-08-09
19922,100.38,2024-07-06
33192,52.95,2024-12-06
32658,67.98,2024-10-06
2935,93.3,2024-11-19
33585,90.57,2024-10-22
30147,14.53,2024-12-27
6714,140.34,2024-12-08
17719,46.97,2024-05-06
42739,116.56,2024-04-22
32621,112.23,2024-12-17
33815,71.76,2024-03-19
45741,35.11,2024-09-20
463,136.42,2024-07-23
33730,73.61,2024-05-15
45099,101.66,2024-02-02
8597,126.36,2024-07-09
2329,40.4,2024-09-07
600,101.93,2024-03-08
29563,132.42,2024-06-01
48165,101.81,2024-02-17
29419,111.74,2024-10-24
41740,101.6,2024-10-03
1531,113.63,2024-12-29
4585,28.22,2024-12-07
36635,16.18,2024-05-10
32193,60.27,2024-09-05
21625,95.83,2024-11-01
45394,30.89,2024-09-14
46763,45.9,2024-03-16
16948,137.19,2024-11-08
6065,90.33,2024-03-04
39694,110.65,2024-02-13
34134,108.68,2024-12-01
26291,85.41,2024-10-10
40963,17.73,2024-07-20
32560,145.88,2024-02-08
35192,90.19,2024-07-04
31374,43.44,2024-04-01
23181,22.48,2024-05-04
7560,103.65,2024-06-26
39059,141.41,2024-11-21
44996,112.56,2024-05-29
17907,15.89,2024-10-02
20506,118.92,2024-06-17
43783,54.8,2024-12-09
26153,44.65,2024-12-24
41704,107.59,2024-11-16
31345,34.21,2024-10-19
35175,80.67,2024-08-13
21012,42.64,2024-05-04
33128,118.88,2024-08-26
34787,80.7,2024-04-22
4133,94.56,2024-01-27
25236,89.56,2024-04-17
22355,103.8,2024-11-15
38627,144.85,2024-12-16
33063,35.81,2024-07-09
30750,57.66,2024-10-08
23027,129.56,2024-01-04
19136,26.04,2024-09-26
18448,79.49,2024-06-27
45099,81.23,2024-04-22
1210,10.68,2024-06-03
26094,146.26,2024-04-26
21090,109.5,2024-11-17
2551,130.4,2024-01-06
28379,133.52,2024-02-02
5676,97.54,2024-04-04
34485,44.78,2024-10-13
26995,87.0,2024-01-04
12544,108.52,2024-05-10
28762,97.8,2024-12-05
19831,99.79,2024-11-12
44337,87.86,2024-05-24
26060,73.09,2024-06-09
3296,139.48,2024-08-19
49452,59.71,2024-07-20
1646,123.28,2024-11-14
37043,48.56,2024-12-22
37135,147.04,2024-03-15
28211,51.32,2024-01-06
6580,144.94,2024-02-01
15365,38.63,2024-06-26
46358,82.37,2024-08-23
29842,47.1,2024-11-28
27412,116.49,2024-06-14
39100,112.73,2024-03-24
14239,81.23,2024-11-24
14620,48.23,2024-01-31
21063,37.85,2024-11-22
28669,24.76,2024-08-02
41321,42.52,2024-04-08
14740,112.24,2024-09-13
27431,50.78,2024-02-27
31399,109.85,2024-07-08
12830,126.14,2024-01-26
37238,87.33,2024-10-28
22110,53.48,2024-10-11
13664,105.3,2024-04-22
14488,87.7,2024-01-17
6156,139.27,2024-09-03
547,145.78,2024-07-29
13513,68.99,2024-04-20
25500,22.09,2024-11-23
11968,90.49,2024-02-07
18543,104.79,2024-11-16
36188,99.1,2024-03-13
843,145.03,2024-12-11
22548,91.2,2024-01-01
20479,103.79,2024-04-21
9664,97.92,2024-09-19
28634,142.55,2024-02-15
32862,139.84,2024-12-22
28382,27.53,2024-07-05
31200,141.69,2024-12-11
41733,37.0,2024-02-28
47468,14.92,2024-05-24
16272,38.89,2024-09-27
15395,74.36,2024-03-07
46474,132.1,2024-03-29
45881,125.02,2024-07-07
49054,43.57,2024-06-29
23023,56.25,2024-12-23
16630,13.02,2024-06-14
19288,10.41,2024-06-09
34720,93.23,2024-09-10
6546,129.14,2024-02-09
24908,96.33,2024-03-29
28500,81.08,2024-03-27
3854,20.05,2024-10-10
8452,135.94,2024-05-07
42998,43.74,2024-11-05
34169,117.6,2024-02-20
13486,54.9,2024-12-12
30810,69.95,2024-08-23
16013,90.35,2024-06-28
29297,60.93,2024-02-27
12973,69.62,2024-07-10
1280,29.25,2024-01-06
16963,110.8,2024-04-11
16909,91.36,2024-02-10
10254,149.31,2024-09-12
29294,44.3,2024-12-22
17349,105.81,2024-03-12
45589,67.93,2024-12-15
49174,32.46,2024-01-27
41339,34.24,2024-04-15
23556,77.99,2024-03-03
3461,57.21,2024-05-19
17748,79.0,2024-10-03
3484,51.96,2024-10-18
19990,144.26,2024-07-19
41083,53.92,2024-06-25
14924,64.22,2024-03-26
47476,11.2,2024-07-29
3756,57.91,2024-06-04
32226,75.14,2024-08-12
2740,99.6,2024-01-26
34744,122.98,2024-07-28
140,19.8,2024-02-17
35741,29.04,2024-10-12
15010,134.44,2024-07-20
18200,126.16,2024-06-17
25523,20.44,2024-01-16
20998,23.9,2024-07-31
47862,72.29,2024-09-14
46278,103.74,2024-07-08
43395,121.81,2024-12-28
38418,25.87,2024-09-24
41097,34.76,2024-01-11
34891,21.06,2024-02-26
6788,40.93,2024-01-09
36369,43.82,2024-12-28
15411,23.81,2024-06-30
26245,129.15,2024-04-15
7812,36.01,2024-01-08
49356,144.61,2024-10-21
5584,17.51,2024-07-13
41627,146.37,2024-01-08
1270,96.0,2024-11-16
40877,44.14,2024-06-07
4868,27.97,2024-11-27
32624,49.82,2024-04-28
2247,64.97,2024-07-10
5545,14.83,2024-10-07
36800,73.93,2024-11-29
44971,42.17,2024-02-04
3419,17.34,2024-09-01
34731,129.67,2024-08-08
18633,59.44,2024-08-10
15682,34.11,2024-11-25
42853,109.27,2024-08-10
25971,52.61,2024-05-28
18060,46.7,2024-04-06
39702,89.87,2024-07-10
15271,68.79,2024-05-09
40428,137.86,2024-10-10
24172,73.47,2024-02-24
13497,133.55,2024-12-08
33244,143.77,2024-12-27
3522,15.93,2024-06-06
37498,94.44,2024-11-28
24843,136.78,2024-07-30
817,130.08,2024-03-10
15684,33.79,2024-11-10
19728,50.05,2024-02-19
7261,45.78,2024-06-01
15445,90.58,2024-01-04
42599,36.84,2024-03-08
12994,133.47,2024-07-07
17713,60.01,2024-02-15
5538,135.66,2024-04-19
40871,101.76,2024-03-20
5795,77.76,2024-09-29
15933,26.57,2024-07-01
21721,86.98,2024-07-25
17501,138.26,2024-06-17
16201,12.14,2024-08-10
12351,15.12,2024-04-13
24431,90.3,2024-10-19
34109,84.57,2024-09-24
11460,107.42,2024-11-12
33361,49.2,2024-01-30
12622,40.87,2024-02-16
48723,139.37,2024-07-23
25757,47.38,2024-12-27
48900,22.5,2024-02-14
48913,17.69,2024-03-27
13183,65.98,2024-05-01
1608,118.86,2024-05-08
48572,122.16,2024-03-25
34071,61.73,2024-05-13
38313,132.27,2024-12-25
11782,37.22,2024-02-07
39279,97.09,2024-02-21
26077,13.59,2024-11-19
16726,102.18,2024-03-23
17799,91.69,2024-07-29
28048,78.63,2024-01-22
44992,46.83,2024-05-01
43436,33.79,2024-05-15
8081,39.3,2024-10-23
42700,44.94,2024-09-12
28084,56.7,2024-09-16
43042,97.74,2024-04-26
20812,36.28,2024-01-28
25415,69.16,2024-03-04
18327,18.33,2024-04-24
22073,19.19,2024-05-29
37718,134.03,2024-06-17
15071,143.98,2024-02-26
29531,32.92,2024-01-03
26171,41.48,2024-05-18
2487,16.56,2024-03-16
9036,121.63,2024-04-22
8745,125.98,2024-03-12
14259,91.05,2024-06-21
27936,98.8,2024-05-12
43306,111.33,2024-04-21
45762,59.35,2024-10-24
49060,85.25,2024-07-11
46782,56.66,2024-09-04
33874,132.12,2024-11-25
34142,73.67,2024-09-23
25950,60.24,2024-02-20
30523,86.83,2024-08-31
42553,17.96,2024-04-17
8742,25.3,2024-02-14
17216,141.75,2024-02-26
47122,42.19,2024-04-29
43827,72.71,2024-02-20
31377,12.36,2024-06-15
25042,133.42,2024-04-04
48114,93.59,2024-05-17
10997,20.3,2024-06-28
48096,35.79,2024-02-28
5854,39.98,2024-01-30
21160,13.2,2024-06-02
1964,90.46,2024-09-08
17698,88.49,2024-10-28
18466,32.99,2024-05-09
9137,109.3,2024-04-15
7611,90.16,2024-01-30
29432,60.52,2024-12-12
5521,69.18,2024-07-03
14983,32.45,2024-09-03
14108,23.15,2024-09-17
26658,19.38,2024-03-13
41743,10.28,2024-03-05
7299,81.07,2024-06-08
17514,63.04,2024-01-31
26368,62.83,2024-08-19
35650,84.23,2024-06-27
23466,81.15,2024-06-08
18862,86.19,2024-07-13
21744,104.71,2024-06-07
44932,115.06,2024-05-16
16011,28.73,2024-08-25
4828,112.64,2024-04-01
29485,36.51,2024-12-23
26251,144.58,2024-01-04
12628,110.42,2024-11-13
5304,50.57,2024-07-30
36116,63.67,2024-06-02
33850,86.67,2024-05-12
4948,132.7,2024-10-29
34389,138.87,2024-01-24
22571,71.08,2024-01-27
3907,39.82,2024-12-01
45761,141.99,2024-10-05
25007,126.36,2024-08-18
34222,86.74,2024-04-13
46058,25.54,2024-08-05
14956,150.0,2024-11-01
15942,136.64,2024-07-27
42095,31.2,2024-03-21
45194,76.81,2024-10-11
19757,80.14,2024-08-04
39361,133.98,2024-09-01
10203,112.63,2024-11-30
17610,131.26,2024-11-10
27287,90.18,2024-01-02
25918,57.56,2024-10-31
4565,58.32,2024-09-01
16684,123.1,2024-10-26
44956,92.75,2024-12-31
20085,26.05,2024-12-03
20166,123.01,2024-12-23
34487,147.36,2024-04-13
31144,88.18,2024-11-12
21264,125.34,2024-11-15
19942,131.61,2024-07-29
6193,90.97,2024-06-17
26103,108.27,2024-09-05
15483,89.38,2024-12-11
30581,28.9,2024-12-25
8355,104.53,2024-07-25
6244,124.3,2024-10-11
42260,101.27,2024-05-14
43799,76.3,2024-04-25
36989,122.26,2024-12-06
49664,146.8,2024-04-15
17882,53.24,2024-03-25
31918,54.3,2024-05-07
39998,138.47,2024-01-03
27341,143.41,2024-03-18
5097,51.1,2024-09-05
23458,135.76,2024-01-30
12205,111.09,2024-02-03
35575,36.07,2024-10-31
48958,132.73,2024-06-17
47079,126.16,2024-09-05
19779,61.05,2024-04-23
6856,147.73,2024-06-20
35099,119.04,2024-08-29
4621,35.53,2024-04-12
30283,102.5,2024-01-01
3410,87.91,2024-07-01
14610,74.71,2024-02-06
16994,53.69,2024-01-01
24816,30.94,2024-06-23
35084,19.89,2024-02-13
20145,40.54,2024-08-28
35,101.03,2024-01-11
37899,113.26,2024-06-06
6728,111.89,2024-06-30
25405,76.4,2024-02-06
41405,75.03,2024-12-15
31954,125.61,2024-09-30
29245,39.61,2024-12-15
41086,78.77,2024-06-01
31739,136.55,2024-12-03
15733,45.88,2024-02-22
44110,50.53,2024-03-26
38256,30.1,2024-09-30
6092,105.31,2024-07-13
21497,13.24,2024-09-24
19962,63.88,2024-05-19
1432,12.45,2024-09-26
18469,25.67,2024-05-18
45058,39.25,2024-08-17
3834,21.86,2024-12-03
7892,140.08,2024-11-07
10974,11.09,2024-06-04
29433,11.84,2024-11-26
40858,31.71,2024-01-24
46619,137.11,2024-05-30
38944,78.76,2024-11-25
12512,17.8,2024-01-10
20940,39.45,2024-06-20
10145,53.04,2024-07-13
31941,81.05,2024-05-28
8758,137.14,2024-07-09
27083,70.66,2024-11-07
