data,origem,destino,volume_toneladas,tipo_carga
2024-04-04,Sorocaba,São Paulo,19.7,Tóxica
2024-04-02,Ribeirão Preto,São José do Rio Preto,17.5,Tóxica
2024-04-04,São José do Rio Preto,Ribeirão Preto,29.8,Inflamável
2024-04-06,Campinas,Sorocaba,28.2,Inflamável
2024-04-06,Campinas,São Paulo,30.6,Tóxica
2024-04-02,Ribeirão Preto,Sorocaba,17.6,Tóxica
2024-04-06,São José do Rio Preto,Campinas,6.8,Tóxica
2024-04-05,São José do Rio Preto,Sorocaba,20.9,Inflamável
2024-04-07,Campinas,São José do Rio Preto,6.3,Comum
2024-04-02,São Paulo,Campinas,5.9,Comum
2024-04-02,São Paulo,Sorocaba,23.4,Tóxica
2024-04-04,São Paulo,Sorocaba,14.1,Inflamável
2024-04-02,Sorocaba,Campinas,27.3,Comum
2024-04-02,Sorocaba,Campinas,31.9,Tóxica
2024-04-04,São Paulo,Ribeirão Preto,26.7,Comum
2024-04-06,São Paulo,São José do Rio Preto,20.4,Tóxica
2024-04-07,São José do Rio Preto,São Paulo,8.4,Comum
2024-04-07,São José do Rio Preto,Sorocaba,24.5,Inflamável
2024-04-06,Campinas,São Paulo,23.3,Tóxica
2024-04-07,São Paulo,Campinas,20.5,Tóxica
2024-04-04,Campinas,São José do Rio Preto,32.8,Tóxica
2024-04-06,São José do Rio Preto,Ribeirão Preto,34.7,Inflamável
2024-04-05,Sorocaba,Campinas,20.3,Tóxica
2024-04-05,Campinas,Sorocaba,8.5,Tóxica
2024-04-02,Campinas,Ribeirão Preto,19.1,Tóxica
2024-04-07,São Paulo,Campinas,10.5,Comum
2024-04-05,São Paulo,Ribeirão Preto,22.9,Tóxica
2024-04-02,Sorocaba,São Paulo,25.8,Comum
2024-04-01,Ribeirão Preto,Campinas,19.1,Comum
2024-04-04,Ribeirão Preto,Sorocaba,7.9,Tóxica
2024-04-04,Ribeirão Preto,Sorocaba,19.1,Tóxica
2024-04-05,Campinas,Ribeirão Preto,25.5,Inflamável
2024-04-07,Campinas,Sorocaba,9.5,Tóxica
2024-04-05,Campinas,São Paulo,21.0,Tóxica
2024-04-01,Campinas,São José do Rio Preto,32.7,Tóxica
2024-04-07,São Paulo,Sorocaba,23.8,Comum
2024-04-01,São Paulo,São José do Rio Preto,9.4,Comum
2024-04-01,São José do Rio Preto,Campinas,18.1,Inflamável
2024-04-07,São Paulo,Ribeirão Preto,26.0,Tóxica
2024-04-03,Sorocaba,Ribeirão Preto,30.9,Tóxica
2024-04-01,São José do Rio Preto,Sorocaba,33.5,Tóxica
2024-04-03,Sorocaba,São Paulo,6.8,Inflamável
2024-04-03,Campinas,Sorocaba,34.5,Tóxica
2024-04-01,Sorocaba,São Paulo,30.7,Comum
2024-04-03,São José do Rio Preto,São Paulo,24.8,Comum
2024-04-05,São José do Rio Preto,São Paulo,27.0,Inflamável
2024-04-02,São José do Rio Preto,São Paulo,7.2,Inflamável
2024-04-07,São Paulo,Campinas,6.2,Tóxica
2024-04-02,Campinas,Ribeirão Preto,8.1,Tóxica
2024-04-07,Campinas,São Paulo,11.5,Tóxica
2024-04-01,Sorocaba,Ribeirão Preto,30.8,Inflamável
2024-04-04,São José do Rio Preto,Sorocaba,18.4,Comum
2024-04-02,Ribeirão Preto,Sorocaba,25.9,Tóxica
2024-04-01,Campinas,Ribeirão Preto,24.6,Tóxica
2024-04-07,São José do Rio Preto,Campinas,12.3,Tóxica
2024-04-06,São Paulo,Ribeirão Preto,15.3,Tóxica
2024-04-05,Campinas,São José do Rio Preto,28.9,Tóxica
2024-04-04,Ribeirão Preto,São José do Rio Preto,12.6,Comum
2024-04-06,Sorocaba,Ribeirão Preto,29.5,Tóxica
2024-04-03,Ribeirão Preto,São José do Rio Preto,26.0,Tóxica
2024-04-01,São José do Rio Preto,Ribeirão Preto,18.2,Tóxica
2024-04-03,Sorocaba,Campinas,26.9,Tóxica
2024-04-05,Ribeirão Preto,São Paulo,32.8,Tóxica
2024-04-07,São Paulo,São José do Rio Preto,27.5,Tóxica
2024-04-06,Campinas,Ribeirão Preto,18.3,Comum
2024-04-03,São José do Rio Preto,São Paulo,9.5,Tóxica
2024-04-02,Sorocaba,São Paulo,7.3,Inflamável
2024-04-07,Campinas,Ribeirão Preto,26.6,Tóxica
2024-04-06,São José do Rio Preto,Sorocaba,6.5,Inflamável
2024-04-07,São José do Rio Preto,Ribeirão Preto,32.1,Comum
2024-04-03,Campinas,Ribeirão Preto,19.5,Inflamável
2024-04-01,Campinas,Ribeirão Preto,13.4,Tóxica
2024-04-07,Sorocaba,São José do Rio Preto,26.5,Tóxica
2024-04-07,Campinas,São José do Rio Preto,31.6,Inflamável
2024-04-02,Ribeirão Preto,Campinas,5.0,Tóxica
2024-04-02,São Paulo,Ribeirão Preto,25.6,Tóxica
2024-04-04,Campinas,São José do Rio Preto,28.0,Comum
2024-04-03,Ribeirão Preto,São José do Rio Preto,19.7,Comum
2024-04-07,São José do Rio Preto,Campinas,7.7,Comum
2024-04-07,Ribeirão Preto,Campinas,27.4,Inflamável
2024-04-01,Campinas,Ribeirão Preto,30.4,Inflamável
2024-04-04,São Paulo,Sorocaba,8.2,Tóxica
2024-04-05,São José do Rio Preto,Ribeirão Preto,29.5,Comum
2024-04-04,Ribeirão Preto,São José do Rio Preto,28.1,Tóxica
2024-04-06,Sorocaba,São José do Rio Preto,15.4,Inflamável
2024-04-05,Campinas,São Paulo,25.7,Tóxica
2024-04-07,São Paulo,Ribeirão Preto,5.0,Tóxica
2024-04-07,Campinas,São José do Rio Preto,33.0,Inflamável
2024-04-05,Sorocaba,São José do Rio Preto,21.5,Tóxica
2024-04-07,São Paulo,Sorocaba,23.6,Inflamável
2024-04-03,Sorocaba,São Paulo,24.9,Inflamável
2024-04-05,Campinas,Ribeirão Preto,21.8,Inflamável
2024-04-04,Ribeirão Preto,Campinas,30.7,Tóxica
2024-04-05,Campinas,Ribeirão Preto,23.3,Tóxica
2024-04-07,Campinas,Ribeirão Preto,32.2,Comum
2024-04-03,Campinas,Sorocaba,22.5,Tóxica
2024-04-03,São José do Rio Preto,Ribeirão Preto,10.1,Tóxica
2024-04-02,Sorocaba,São José do Rio Preto,26.0,Inflamável
2024-04-02,São José do Rio Preto,Campinas,34.6,Tóxica
2024-04-05,Ribeirão Preto,Sorocaba,7.3,Comum
2024-04-06,Campinas,São Paulo,17.9,Comum
2024-04-01,Ribeirão Preto,São Paulo,12.2,Inflamável
2024-04-05,São José do Rio Preto,Campinas,23.9,Tóxica
2024-04-04,São Paulo,São José do Rio Preto,18.6,Inflamável
2024-04-04,Sorocaba,São Paulo,25.5,Tóxica
2024-04-06,São Paulo,Sorocaba,12.3,Comum
2024-04-06,Ribeirão Preto,Campinas,23.2,Tóxica
2024-04-03,São José do Rio Preto,São Paulo,34.1,Tóxica
2024-04-04,Ribeirão Preto,Campinas,31.6,Tóxica
2024-04-07,Ribeirão Preto,São Paulo,12.4,Tóxica
2024-04-06,Ribeirão Preto,Sorocaba,33.6,Inflamável
2024-04-01,Campinas,São José do Rio Preto,9.1,Comum
2024-04-01,Campinas,Ribeirão Preto,10.7,Inflamável
2024-04-01,São José do Rio Preto,Campinas,17.6,Tóxica
2024-04-03,Sorocaba,São José do Rio Preto,22.7,Comum
2024-04-06,São Paulo,São José do Rio Preto,23.1,Inflamável
2024-04-01,São Paulo,São José do Rio Preto,13.8,Comum
2024-04-04,Ribeirão Preto,Sorocaba,32.6,Inflamável
2024-04-05,São José do Rio Preto,Campinas,32.5,Comum
2024-04-03,São Paulo,Campinas,18.0,Inflamável
2024-04-07,Campinas,São Paulo,26.1,Tóxica
2024-04-06,Sorocaba,Ribeirão Preto,24.9,Inflamável
2024-04-03,São José do Rio Preto,Campinas,16.5,Inflamável
2024-04-01,Campinas,Ribeirão Preto,17.4,Inflamável
2024-04-06,Sorocaba,São Paulo,15.4,Tóxica
2024-04-05,São José do Rio Preto,Ribeirão Preto,12.1,Tóxica
2024-04-03,São Paulo,Sorocaba,25.6,Comum
2024-04-02,Campinas,São Paulo,27.3,Inflamável
2024-04-04,São José do Rio Preto,Ribeirão Preto,28.4,Tóxica
2024-04-07,São José do Rio Preto,São Paulo,16.2,Tóxica
2024-04-03,Sorocaba,São José do Rio Preto,27.9,Tóxica
2024-04-06,São Paulo,Sorocaba,5.2,Tóxica
2024-04-01,Ribeirão Preto,São Paulo,19.3,Tóxica
2024-04-04,São Paulo,São José do Rio Preto,28.8,Inflamável
2024-04-01,Ribeirão Preto,São José do Rio Preto,23.9,Comum
2024-04-06,Campinas,São José do Rio Preto,19.2,Tóxica
2024-04-01,Campinas,Ribeirão Preto,24.3,Inflamável
2024-04-02,São José do Rio Preto,Campinas,32.2,Inflamável
2024-04-04,Campinas,São Paulo,22.0,Comum
2024-04-04,São José do Rio Preto,Campinas,29.0,Comum
2024-04-06,São Paulo,São José do Rio Preto,34.4,Tóxica
2024-04-02,São Paulo,São José do Rio Preto,22.2,Tóxica
2024-04-03,São Paulo,São José do Rio Preto,6.1,Inflamável
2024-04-01,Campinas,Sorocaba,16.2,Inflamável
2024-04-05,São Paulo,Sorocaba,22.0,Tóxica
2024-04-01,Campinas,São Paulo,18.1,Tóxica
2024-04-01,Ribeirão Preto,São Paulo,13.2,Tóxica
2024-04-02,São Paulo,Campinas,27.3,Tóxica
2024-04-02,Sorocaba,Ribeirão Preto,17.6,Tóxica
2024-04-04,Campinas,Ribeirão Preto,19.6,Tóxica
2024-04-07,São José do Rio Preto,Sorocaba,13.9,Tóxica
2024-04-05,Campinas,São Paulo,7.9,Inflamável
2024-04-01,Sorocaba,São José do Rio Preto,20.9,Tóxica
2024-04-06,Ribeirão Preto,São José do Rio Preto,34.0,Comum
2024-04-02,Campinas,Ribeirão Preto,6.7,Tóxica
2024-04-05,São Paulo,Campinas,22.8,Comum
2024-04-04,São José do Rio Preto,Ribeirão Preto,25.4,Inflamável
2024-04-02,São José do Rio Preto,São Paulo,34.6,Tóxica
2024-04-06,São Paulo,São José do Rio Preto,33.3,Comum
2024-04-07,Campinas,São José do Rio Preto,26.4,Tóxica
2024-04-04,São José do Rio Preto,Campinas,20.7,Tóxica
2024-04-07,Ribeirão Preto,São José do Rio Preto,9.8,Inflamável
2024-04-03,São Paulo,Campinas,16.5,Tóxica
2024-04-01,Campinas,São Paulo,26.8,Tóxica
2024-04-07,São Paulo,Ribeirão Preto,24.1,Inflamável
2024-04-06,São José do Rio Preto,Ribeirão Preto,26.4,Inflamável
2024-04-05,Campinas,Ribeirão Preto,17.9,Tóxica
2024-04-04,Ribeirão Preto,Sorocaba,26.8,Comum
2024-04-02,Campinas,São Paulo,9.3,Tóxica
2024-04-06,Campinas,São José do Rio Preto,9.9,Inflamável
2024-04-06,Ribeirão Preto,São José do Rio Preto,9.9,Comum
2024-04-03,Ribeirão Preto,São Paulo,31.7,Comum
2024-04-07,Campinas,São Paulo,7.3,Inflamável
2024-04-01,São Paulo,São José do Rio Preto,12.0,Tóxica
2024-04-04,Ribeirão Preto,São Paulo,19.1,Inflamável
2024-04-03,Ribeirão Preto,São José do Rio Preto,32.5,Tóxica
2024-04-06,Campinas,São Paulo,22.6,Tóxica
2024-04-05,São Paulo,Campinas,11.3,Tóxica
2024-04-03,Sorocaba,Ribeirão Preto,13.5,Tóxica
2024-04-04,Sorocaba,São Paulo,32.6,Inflamável
2024-04-04,São José do Rio Preto,Sorocaba,17.8,Comum
2024-04-03,Ribeirão Preto,São Paulo,22.6,Tóxica
2024-04-04,Ribeirão Preto,Campinas,18.8,Tóxica
2024-04-03,São Paulo,Sorocaba,16.4,Tóxica
2024-04-03,São José do Rio Preto,São Paulo,25.6,Tóxica
2024-04-07,São Paulo,Campinas,26.5,Tóxica
2024-04-03,Ribeirão Preto,Sorocaba,13.2,Inflamável
2024-04-04,Sorocaba,Ribeirão Preto,28.7,Comum
2024-04-07,São José do Rio Preto,Ribeirão Preto,30.6,Tóxica
2024-04-04,Campinas,São José do Rio Preto,32.6,Tóxica
2024-04-01,Sorocaba,São José do Rio Preto,9.8,Inflamável
2024-04-01,São José do Rio Preto,Campinas,14.1,Tóxica
2024-04-07,São Paulo,Sorocaba,30.8,Tóxica
2024-04-02,Campinas,Ribeirão Preto,11.0,Inflamável
2024-04-01,São José do Rio Preto,Ribeirão Preto,5.1,Comum
2024-04-03,São José do Rio Preto,Campinas,31.1,Tóxica
2024-04-04,Ribeirão Preto,Sorocaba,14.8,Tóxica
2024-04-01,Sorocaba,Campinas,17.4,Tóxica
2024-04-01,Ribeirão Preto,São Paulo,18.4,Comum
2024-04-02,Campinas,Ribeirão Preto,30.4,Tóxica
2024-04-07,São José do Rio Preto,Campinas,15.1,Inflamável
2024-04-07,Ribeirão Preto,Campinas,31.8,Comum
2024-04-06,Sorocaba,São Paulo,23.5,Comum
2024-04-02,Campinas,São José do Rio Preto,20.8,Inflamável
2024-04-03,São Paulo,Ribeirão Preto,14.8,Tóxica
2024-04-07,Ribeirão Preto,Campinas,12.3,Tóxica
2024-04-04,Campinas,Ribeirão Preto,23.7,Tóxica
2024-04-02,São Paulo,São José do Rio Preto,18.4,Inflamável
2024-04-01,Ribeirão Preto,Campinas,32.3,Inflamável
2024-04-04,Campinas,São Paulo,19.7,Comum
2024-04-04,Campinas,Ribeirão Preto,20.4,Tóxica
2024-04-01,Ribeirão Preto,São Paulo,17.5,Inflamável
2024-04-02,Campinas,São José do Rio Preto,28.7,Comum
2024-04-04,Campinas,São José do Rio Preto,30.9,Inflamável
2024-04-05,São Paulo,Sorocaba,22.9,Inflamável
2024-04-05,São Paulo,Ribeirão Preto,22.7,Tóxica
2024-04-03,São José do Rio Preto,Sorocaba,23.3,Tóxica
2024-04-07,Ribeirão Preto,São José do Rio Preto,26.6,Tóxica
2024-04-01,Campinas,Ribeirão Preto,14.4,Tóxica
2024-04-01,Campinas,Sorocaba,6.0,Inflamável
2024-04-03,São Paulo,São José do Rio Preto,29.3,Inflamável
2024-04-03,São José do Rio Preto,Campinas,8.9,Inflamável
2024-04-03,São Paulo,Campinas,26.7,Tóxica
2024-04-06,São José do Rio Preto,Campinas,16.3,Tóxica
2024-04-01,Ribeirão Preto,Sorocaba,6.9,Tóxica
2024-04-01,Sorocaba,Ribeirão Preto,10.1,Tóxica
2024-04-04,Sorocaba,Ribeirão Preto,16.1,Tóxica
2024-04-06,Sorocaba,Campinas,32.9,Inflamável
2024-04-04,São José do Rio Preto,Campinas,18.3,Inflamável
2024-04-03,Ribeirão Preto,São José do Rio Preto,32.8,Comum
2024-04-06,Campinas,São Paulo,34.2,Comum
2024-04-01,Sorocaba,Campinas,33.9,Tóxica
2024-04-05,Sorocaba,São José do Rio Preto,29.4,Tóxica
2024-04-02,Campinas,São José do Rio Preto,30.1,Comum
2024-04-06,São José do Rio Preto,Campinas,5.5,Tóxica
2024-04-06,Ribeirão Preto,São Paulo,28.0,Tóxica
2024-04-03,São José do Rio Preto,Campinas,7.4,Comum
2024-04-05,Ribeirão Preto,São Paulo,12.0,Tóxica
2024-04-04,São Paulo,Campinas,20.0,Inflamável
2024-04-04,São Paulo,São José do Rio Preto,30.2,Tóxica
2024-04-06,Ribeirão Preto,São José do Rio Preto,17.5,Tóxica
2024-04-05,Sorocaba,Ribeirão Preto,16.3,Tóxica
2024-04-04,Sorocaba,Ribeirão Preto,15.5,Tóxica
2024-04-07,Ribeirão Preto,Sorocaba,14.2,Tóxica
2024-04-03,São Paulo,Campinas,11.3,Inflamável
2024-04-01,Campinas,São José do Rio Preto,10.2,Tóxica
2024-04-01,São Paulo,Campinas,24.2,Comum
2024-04-04,Ribeirão Preto,São Paulo,32.6,Tóxica
2024-04-03,Campinas,Sorocaba,13.9,Comum
2024-04-06,São José do Rio Preto,São Paulo,9.8,Tóxica
2024-04-07,São José do Rio Preto,Campinas,29.9,Inflamável
2024-04-06,Campinas,Ribeirão Preto,34.1,Comum
2024-04-06,Sorocaba,São Paulo,13.7,Comum
2024-04-06,São José do Rio Preto,Ribeirão Preto,23.0,Tóxica
2024-04-06,São José do Rio Preto,Campinas,28.3,Tóxica
2024-04-05,São José do Rio Preto,Campinas,18.7,Inflamável
2024-04-03,Sorocaba,São Paulo,23.9,Tóxica
2024-04-06,São José do Rio Preto,São Paulo,26.5,Inflamável
2024-04-03,Sorocaba,São Paulo,33.8,Comum
2024-04-03,Campinas,Sorocaba,10.0,Comum
2024-04-02,São Paulo,São José do Rio Preto,34.9,Tóxica
2024-04-05,Campinas,Ribeirão Preto,16.8,Comum
2024-04-06,São Paulo,Campinas,26.7,Tóxica
2024-04-04,São Paulo,São José do Rio Preto,19.6,Inflamável
2024-04-01,Ribeirão Preto,São Paulo,16.9,Tóxica
2024-04-05,São Paulo,Campinas,8.8,Inflamável
2024-04-04,São Paulo,São José do Rio Preto,19.7,Tóxica
2024-04-05,Ribeirão Preto,Campinas,20.7,Inflamável
2024-04-03,São José do Rio Preto,São Paulo,11.1,Comum
2024-04-04,São José do Rio Preto,Ribeirão Preto,33.1,Tóxica
2024-04-03,Ribeirão Preto,São Paulo,11.8,Tóxica
2024-04-01,Sorocaba,Ribeirão Preto,17.3,Inflamável
2024-04-01,São Paulo,Sorocaba,9.6,Tóxica
2024-04-04,São Paulo,São José do Rio Preto,21.1,Comum
2024-04-04,Ribeirão Preto,Sorocaba,14.2,Tóxica
2024-04-06,Ribeirão Preto,São Paulo,19.7,Tóxica
2024-04-05,Sorocaba,São José do Rio Preto,11.7,Tóxica
2024-04-06,São José do Rio Preto,São Paulo,6.6,Tóxica
2024-04-05,Campinas,São José do Rio Preto,28.4,Inflamável
2024-04-04,Ribeirão Preto,São Paulo,6.4,Inflamável
2024-04-01,Sorocaba,São José do Rio Preto,31.0,Tóxica
2024-04-05,Sorocaba,São Paulo,32.9,Inflamável
2024-04-01,São José do Rio Preto,São Paulo,19.4,Inflamável
2024-04-06,São Paulo,Campinas,15.2,Inflamável
2024-04-07,Sorocaba,Campinas,31.3,Inflamável
2024-04-04,Campinas,São José do Rio Preto,17.2,Tóxica
2024-04-01,Sorocaba,Ribeirão Preto,18.0,Comum
2024-04-05,São José do Rio Preto,Ribeirão Preto,12.4,Tóxica
2024-04-07,São Paulo,Ribeirão Preto,11.9,Tóxica
2024-04-01,Sorocaba,São Paulo,12.9,Inflamável
2024-04-02,Campinas,São José do Rio Preto,24.8,Tóxica
2024-04-01,Campinas,Sorocaba,8.5,Comum
2024-04-02,São José do Rio Preto,Campinas,16.6,Tóxica
2024-04-07,Sorocaba,São José do Rio Preto,23.8,Tóxica
2024-04-06,Ribeirão Preto,Campinas,13.7,Comum
2024-04-02,Campinas,São Paulo,7.0,Comum
2024-04-06,São Paulo,Sorocaba,8.8,Comum
2024-04-02,São José do Rio Preto,São Paulo,30.1,Tóxica
2024-04-07,São Paulo,Ribeirão Preto,24.7,Tóxica
2024-04-06,Campinas,Sorocaba,6.9,Comum
2024-04-07,Campinas,Ribeirão Preto,16.7,Comum
2024-04-02,São Paulo,Campinas,13.4,Tóxica
2024-04-07,Campinas,Sorocaba,22.3,Tóxica
2024-04-03,Sorocaba,São Paulo,20.7,Tóxica
2024-04-02,Campinas,Ribeirão Preto,19.4,Tóxica
2024-04-02,São José do Rio Preto,Campinas,14.4,Inflamável
2024-04-02,Sorocaba,Campinas,9.1,Inflamável
2024-04-01,Ribeirão Preto,Sorocaba,27.3,Tóxica
2024-04-01,Campinas,Sorocaba,31.4,Inflamável
2024-04-01,Campinas,São José do Rio Preto,33.3,Comum
2024-04-06,São José do Rio Preto,Sorocaba,27.2,Inflamável
2024-04-07,São Paulo,São José do Rio Preto,26.8,Comum
2024-04-02,São Paulo,Sorocaba,6.6,Tóxica
2024-04-02,Ribeirão Preto,Campinas,15.5,Inflamável
2024-04-01,São Paulo,Sorocaba,28.1,Inflamável
2024-04-05,Campinas,Ribeirão Preto,30.9,Inflamável
2024-04-04,São José do Rio Preto,Ribeirão Preto,15.9,Tóxica
2024-04-07,Ribeirão Preto,São José do Rio Preto,8.5,Tóxica
2024-04-01,São José do Rio Preto,São Paulo,17.5,Tóxica
2024-04-04,São José do Rio Preto,São Paulo,15.8,Tóxica
2024-04-05,Campinas,Sorocaba,10.5,Inflamável
2024-04-04,São Paulo,Campinas,31.8,Tóxica
2024-04-01,Campinas,São José do Rio Preto,9.4,Tóxica
2024-04-06,São Paulo,Campinas,24.1,Tóxica
2024-04-06,São Paulo,Sorocaba,31.7,Tóxica
2024-04-04,São José do Rio Preto,Sorocaba,32.4,Tóxica
2024-04-03,São Paulo,Campinas,28.8,Inflamável
2024-04-07,Ribeirão Preto,Sorocaba,29.5,Inflamável
2024-04-04,Ribeirão Preto,São José do Rio Preto,13.3,Tóxica
2024-04-02,São José do Rio Preto,Campinas,32.7,Tóxica
2024-04-02,Campinas,Ribeirão Preto,26.3,Comum
2024-04-07,Sorocaba,Campinas,28.6,Tóxica
2024-04-07,São Paulo,Ribeirão Preto,7.6,Inflamável
2024-04-06,Sorocaba,Ribeirão Preto,22.5,Comum
2024-04-03,Campinas,São José do Rio Preto,29.6,Inflamável
2024-04-01,Campinas,Sorocaba,30.8,Tóxica
2024-04-02,São José do Rio Preto,Ribeirão Preto,5.9,Tóxica
2024-04-07,Ribeirão Preto,Sorocaba,33.2,Tóxica
2024-04-06,Ribeirão Preto,São José do Rio Preto,6.3,Inflamável
2024-04-05,Campinas,Sorocaba,23.4,Inflamável
2024-04-06,São José do Rio Preto,São Paulo,25.8,Inflamável
2024-04-02,São José do Rio Preto,Ribeirão Preto,8.2,Tóxica
2024-04-02,São Paulo,São José do Rio Preto,6.4,Comum
2024-04-06,Ribeirão Preto,Campinas,28.5,Inflamável
2024-04-01,Campinas,São José do Rio Preto,16.5,Tóxica
2024-04-04,Sorocaba,Ribeirão Preto,8.2,Tóxica
2024-04-02,Ribeirão Preto,São José do Rio Preto,27.9,Inflamável
2024-04-06,São Paulo,Campinas,30.5,Tóxica
2024-04-07,São José do Rio Preto,São Paulo,22.6,Tóxica
2024-04-06,Campinas,Ribeirão Preto,9.8,Tóxica
2024-04-04,Sorocaba,São José do Rio Preto,26.0,Tóxica
2024-04-05,São Paulo,Sorocaba,21.5,Tóxica
2024-04-01,São Paulo,Sorocaba,24.5,Comum
2024-04-05,Ribeirão Preto,Campinas,29.4,Inflamável
2024-04-04,Sorocaba,São Paulo,18.0,Inflamável
2024-04-04,Campinas,São José do Rio Preto,33.2,Inflamável
2024-04-05,São Paulo,São José do Rio Preto,21.4,Inflamável
2024-04-04,São José do Rio Preto,São Paulo,33.0,Tóxica
2024-04-06,São José do Rio Preto,São Paulo,32.9,Tóxica
2024-04-05,Ribeirão Preto,São Paulo,22.2,Tóxica
2024-04-04,Sorocaba,Campinas,13.9,Inflamável
2024-04-06,São Paulo,Campinas,34.9,Inflamável
2024-04-07,São Paulo,São José do Rio Preto,25.4,Tóxica
2024-04-03,São José do Rio Preto,Sorocaba,17.3,Tóxica
2024-04-07,São José do Rio Preto,Ribeirão Preto,21.8,Tóxica
2024-04-04,Campinas,Sorocaba,17.5,Tóxica
2024-04-05,São José do Rio Preto,Campinas,31.6,Comum
2024-04-04,São Paulo,São José do Rio Preto,29.7,Tóxica
2024-04-02,Campinas,Ribeirão Preto,30.2,Tóxica
2024-04-06,Campinas,São Paulo,29.7,Tóxica
2024-04-01,São José do Rio Preto,Ribeirão Preto,30.6,Tóxica
2024-04-07,Campinas,Ribeirão Preto,16.6,Comum
2024-04-03,São Paulo,São José do Rio Preto,8.4,Inflamável
2024-04-04,Sorocaba,Campinas,30.3,Inflamável
2024-04-02,Campinas,São Paulo,19.9,Comum
2024-04-07,São José do Rio Preto,Ribeirão Preto,8.8,Inflamável
